Order_ID,Order_Date,City,Area,Outlet_ID,Outlet_Name,Outlet_Location,Outlet_Size,Category,Brand,MRP,Discount_%,Selling_Price,Quantity,Sales,Cost,Profit,Payment_Mode,Delivery_Time_Minutes,Rating
ORD0012,06-06-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,High,Household,Fortune,52,10,46.8,7,327.6,247.97,79.63,UPI,25,4.9
ORD0013,04-05-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,High,Bakery,Amul,250,20,200,7,1400,1020.35,379.65,Cash,10,5
ORD0014,27-01-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Small,Snacks,Tata,133,5,126.35,6,758.1,583.85,174.25,Credit Card,30,3.8
ORD0015,30-03-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,High,Household,MDH,364,20,291.2,3,873.6,678.68,194.92,UPI,10,4.8
ORD0016,27-01-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,High,Household,Parle,295,20,236,5,1180,787.27,392.73,Debit Card,40,4
ORD0017,20-05-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,Small,Grocery,Tata,155,25,116.25,6,697.5,473.83,223.67,Credit Card,28,4.2
ORD0018,06-06-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Small,Beverages,Aashirvaad,232,10,208.8,6,1252.8,973.79,279.01,Cash,15,4.4
ORD0019,01-05-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Medium,Beverages,Nestle,424,5,402.8,1,402.8,325.47,77.33,Debit Card,40,5
ORD0020,20-02-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Medium,Beverages,MDH,91,10,81.9,2,163.8,113.9,49.9,UPI,25,4.9
ORD0021,21-02-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Medium,Snacks,Aashirvaad,459,5,436.05,2,872.1,725.55,146.55,Credit Card,10,4.8
ORD0022,13-02-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,Small,Fruits,Fortune,287,20,229.6,2,459.2,365.05,94.15,Debit Card,35,4
ORD0023,03-02-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,Small,Fruits,Tata,292,15,248.2,3,744.6,565.7,178.9,Cash,22,5
ORD0024,16-03-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,High,Beverages,Nestle,472,10,424.8,1,424.8,297.52,127.28,Credit Card,28,4.3
ORD0025,13-05-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Medium,Snacks,Fortune,81,15,68.85,8,550.8,431,119.8,UPI,25,4.7
ORD0026,08-06-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,High,Dairy,Amul,52,10,46.8,3,140.4,95.23,45.17,Credit Card,35,4.4
ORD0027,12-03-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Small,Dairy,MDH,297,5,282.15,1,282.15,197.42,84.73,UPI,10,4.3
ORD0028,26-04-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,High,Frozen Foods,Britannia,308,25,231,4,924,728.62,195.38,Credit Card,28,4.9
ORD0029,11-04-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Household,Tata,480,20,384,3,1152,844.79,307.21,Cash,22,3.9
ORD0030,14-06-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,High,Household,Fortune,451,5,428.45,3,1285.35,1077,208.35,Credit Card,12,5
ORD0031,11-02-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,High,Beverages,Fortune,432,5,410.4,7,2872.8,2375.77,497.03,Debit Card,28,4.3
ORD0032,04-04-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,Small,Household,MDH,150,15,127.5,6,765,511.36,253.64,Debit Card,40,3.8
ORD0033,17-01-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Small,Beverages,Tata,314,25,235.5,5,1177.5,886.01,291.49,UPI,18,4.1
ORD0034,23-06-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Medium,Bakery,Fortune,188,10,169.2,7,1184.4,971.11,213.29,Debit Card,40,4.2
ORD0035,10-03-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,Small,Dairy,Parle,79,10,71.1,7,497.7,412.62,85.08,UPI,30,4.8
ORD0036,22-05-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,Medium,Grocery,Fortune,185,5,175.75,8,1406,917.15,488.85,UPI,28,4.7
ORD0037,21-03-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Grocery,Britannia,132,15,112.2,1,112.2,76.99,35.21,Credit Card,25,4.4
ORD0038,10-01-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Small,Fruits,Britannia,188,15,159.8,1,159.8,135.65,24.15,Debit Card,15,4.9
ORD0039,11-04-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Grocery,Britannia,387,20,309.6,8,2476.8,1880.34,596.46,Cash,20,4
ORD0040,04-01-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Small,Grocery,Aashirvaad,257,15,218.45,1,218.45,178.56,39.89,Cash,8,3.9
ORD0041,27-06-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,Medium,Fruits,MDH,495,25,371.25,5,1856.25,1428.86,427.39,Cash,12,4.1
ORD0042,21-05-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,Medium,Beverages,Amul,184,15,156.4,6,938.4,792.5,145.9,Credit Card,15,4.2
ORD0043,09-05-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,High,Beverages,Britannia,221,20,176.8,2,353.6,263.41,90.19,UPI,10,4.1
ORD0044,18-03-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,Medium,Beverages,Tata,123,20,98.4,1,98.4,71.71,26.69,Cash,35,4.9
ORD0045,08-06-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,High,Snacks,Amul,249,15,211.65,8,1693.2,1151.19,542.01,Debit Card,40,4.6
ORD0046,30-05-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,High,Beverages,Tata,121,25,90.75,1,90.75,73.99,16.76,UPI,8,4
ORD0047,10-06-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Small,Beverages,MDH,103,20,82.4,8,659.2,502.12,157.08,Credit Card,8,4.3
ORD0048,17-01-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Frozen Foods,Parle,433,25,324.75,2,649.5,507.82,141.68,UPI,18,4.1
ORD0049,20-01-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Grocery,Amul,168,20,134.4,8,1075.2,880.7,194.5,Cash,10,4.5
ORD0050,16-01-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Medium,Grocery,Tata,180,15,153,3,459,299.49,159.51,Cash,35,4.4
ORD0051,31-01-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,High,Beverages,Parle,196,20,156.8,8,1254.4,932.36,322.04,UPI,25,3.8
ORD0052,10-04-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Small,Beverages,Tata,89,25,66.75,8,534,453.26,80.74,UPI,12,4.7
ORD0053,30-06-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,Medium,Beverages,MDH,234,10,210.6,5,1053,871.22,181.78,Debit Card,22,3.8
ORD0054,06-02-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,Medium,Household,Aashirvaad,301,20,240.8,7,1685.6,1197.43,488.17,Credit Card,10,4.8
ORD0055,20-02-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,High,Fruits,Parle,216,15,183.6,7,1285.2,866.24,418.96,Credit Card,20,3.9
ORD0056,20-04-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,Medium,Fruits,Parle,495,25,371.25,2,742.5,536.19,206.31,UPI,8,4.8
ORD0057,22-04-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,High,Household,Britannia,375,10,337.5,4,1350,1139.68,210.32,Credit Card,22,4.9
ORD0058,13-01-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,High,Bakery,MDH,498,25,373.5,4,1494,1186.11,307.89,Cash,35,4.8
ORD0059,17-04-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Medium,Grocery,Parle,75,25,56.25,3,168.75,115.45,53.3,Credit Card,40,4.7
ORD0060,21-06-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,Medium,Dairy,Fortune,257,10,231.3,5,1156.5,863.49,293.01,Cash,10,4
ORD0061,26-04-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Medium,Snacks,Britannia,331,10,297.9,8,2383.2,1981.04,402.16,Cash,10,4
ORD0062,26-05-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Small,Fruits,Aashirvaad,96,15,81.6,4,326.4,236.2,90.2,Debit Card,22,4.7
ORD0063,08-05-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Household,Fortune,242,15,205.7,6,1234.2,987.88,246.32,Cash,10,4.1
ORD0064,21-03-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Small,Snacks,Amul,246,20,196.8,8,1574.4,1159.34,415.06,Debit Card,40,4.7
ORD0065,16-05-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Medium,Frozen Foods,Britannia,350,20,280,1,280,186.1,93.9,UPI,15,4
ORD0066,11-01-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Small,Snacks,Britannia,399,5,379.05,8,3032.4,2022.61,1009.79,UPI,35,4.7
ORD0067,29-01-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Small,Dairy,Parle,370,15,314.5,7,2201.5,1738.56,462.94,Cash,22,4.1
ORD0068,13-03-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,Medium,Beverages,MDH,50,5,47.5,5,237.5,201.7,35.8,Cash,28,4.1
ORD0069,08-05-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,High,Bakery,Tata,410,15,348.5,1,348.5,228.04,120.46,Credit Card,15,4.6
ORD0070,18-04-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Medium,Bakery,Britannia,166,20,132.8,1,132.8,104.8,28,UPI,18,4.7
ORD0071,21-03-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Small,Beverages,MDH,84,10,75.6,8,604.8,510.43,94.37,Cash,18,4.7
ORD0072,27-02-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,Medium,Bakery,Amul,105,25,78.75,8,630,486.37,143.63,Cash,22,3.9
ORD0073,16-01-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,Small,Bakery,MDH,355,10,319.5,7,2236.5,1476.91,759.59,Credit Card,40,3.9
ORD0074,15-05-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Frozen Foods,Amul,134,15,113.9,4,455.6,313.04,142.56,Credit Card,35,4.7
ORD0075,21-01-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Medium,Dairy,Nestle,219,20,175.2,3,525.6,353.09,172.51,Debit Card,10,4.5
ORD0076,21-04-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Small,Fruits,MDH,244,15,207.4,5,1037,844.53,192.47,Cash,20,4.4
ORD0077,02-05-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Small,Bakery,Britannia,148,15,125.8,6,754.8,601.93,152.87,Debit Card,8,4.3
ORD0078,17-01-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,High,Household,Nestle,82,5,77.9,5,389.5,268.36,121.14,Credit Card,20,4.9
ORD0079,18-03-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,Small,Dairy,Amul,72,15,61.2,6,367.2,306.56,60.64,Cash,10,4.4
ORD0080,07-05-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Small,Frozen Foods,Fortune,447,20,357.6,5,1788,1488.88,299.12,UPI,40,4.2
ORD0081,28-04-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Medium,Dairy,Britannia,360,10,324,6,1944,1598.45,345.55,Debit Card,12,4.1
ORD0082,25-03-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,Small,Bakery,Tata,382,5,362.9,8,2903.2,2207.94,695.26,UPI,18,4.5
ORD0083,25-04-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Small,Beverages,Fortune,99,20,79.2,8,633.6,537.09,96.51,Debit Card,25,4.5
ORD0084,17-03-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Grocery,Parle,432,25,324,2,648,522.26,125.74,Credit Card,18,4.7
ORD0085,09-02-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Beverages,Nestle,274,10,246.6,3,739.8,517.17,222.63,UPI,22,4.1
ORD0086,26-01-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,High,Frozen Foods,Amul,309,25,231.75,4,927,722.99,204.01,UPI,8,4.4
ORD0087,17-03-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Small,Dairy,Amul,480,20,384,6,2304,1516.2,787.8,Cash,30,5
ORD0088,15-02-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,Medium,Grocery,Amul,149,5,141.55,6,849.3,639.13,210.17,UPI,35,4.5
ORD0089,06-02-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,Small,Beverages,Parle,229,10,206.1,1,206.1,149.16,56.94,UPI,30,4.7
ORD0090,06-04-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Small,Grocery,Tata,467,5,443.65,6,2661.9,1947.98,713.92,Cash,8,4.8
ORD0091,12-04-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,High,Snacks,Tata,297,5,282.15,7,1975.05,1323.83,651.22,Cash,22,4.6
ORD0092,21-03-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,High,Household,Aashirvaad,195,15,165.75,7,1160.25,975.35,184.9,Debit Card,8,4.8
ORD0093,22-02-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Small,Bakery,Fortune,379,10,341.1,7,2387.7,1899.67,488.03,Debit Card,10,4.8
ORD0094,03-02-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,Small,Fruits,Fortune,345,15,293.25,8,2346,1887.62,458.38,Debit Card,10,4.5
ORD0095,14-03-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Small,Snacks,Tata,427,25,320.25,3,960.75,652.52,308.23,UPI,22,4.4
ORD0096,04-05-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Fruits,Aashirvaad,204,10,183.6,1,183.6,155.16,28.44,UPI,40,4.5
ORD0097,20-02-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Medium,Snacks,Britannia,377,10,339.3,7,2375.1,1835.82,539.28,UPI,22,4.9
ORD0098,19-02-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Small,Fruits,Nestle,246,15,209.1,2,418.2,284.33,133.87,UPI,22,4.5
ORD0099,05-03-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Medium,Bakery,Nestle,484,15,411.4,7,2879.8,2049.39,830.41,Debit Card,28,4.3
ORD0100,25-04-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,High,Frozen Foods,Fortune,51,25,38.25,8,306,227.37,78.63,Debit Card,22,3.9
ORD0101,24-04-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,High,Fruits,Amul,233,20,186.4,6,1118.4,747.47,370.93,Cash,10,4.9
ORD0102,10-05-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Medium,Snacks,Amul,448,25,336,2,672,444.09,227.91,UPI,30,4.7
ORD0103,12-02-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Beverages,Tata,149,10,134.1,8,1072.8,759.09,313.71,Credit Card,30,4.7
ORD0104,27-04-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Small,Grocery,MDH,215,25,161.25,5,806.25,670,136.25,Cash,30,4.1
ORD0105,16-02-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Medium,Snacks,Parle,171,15,145.35,6,872.1,573.29,298.81,Credit Card,22,4
ORD0106,03-04-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,Medium,Dairy,Parle,108,25,81,1,81,62.96,18.04,Debit Card,40,4.8
ORD0107,21-01-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,Medium,Beverages,Fortune,242,15,205.7,3,617.1,445.58,171.52,UPI,18,4.8
ORD0108,09-01-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,Small,Snacks,Parle,208,25,156,6,936,745.62,190.38,Debit Card,22,4.4
ORD0109,12-01-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,Small,Fruits,Amul,117,20,93.6,4,374.4,289.23,85.17,Credit Card,18,3.9
ORD0110,31-05-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Small,Beverages,Nestle,323,10,290.7,7,2034.9,1560.19,474.71,Debit Card,12,4
ORD0111,13-06-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Small,Grocery,Aashirvaad,412,10,370.8,8,2966.4,1985,981.4,Credit Card,8,3.9
ORD0112,13-05-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,High,Frozen Foods,Britannia,229,25,171.75,8,1374,1058.5,315.5,Cash,8,3.9
ORD0113,15-01-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Small,Fruits,Britannia,62,20,49.6,3,148.8,103.79,45.01,Cash,22,4
ORD0114,14-02-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,High,Grocery,Tata,379,25,284.25,7,1989.75,1617.02,372.73,Credit Card,35,3.9
ORD0115,22-04-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,High,Frozen Foods,Tata,416,25,312,1,312,226.21,85.79,Debit Card,12,4.1
ORD0116,27-06-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,Medium,Fruits,Parle,183,10,164.7,1,164.7,111.12,53.58,Debit Card,35,4.7
ORD0117,10-05-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Small,Snacks,Parle,185,15,157.25,4,629,419.6,209.4,Cash,40,4
ORD0118,26-03-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,High,Beverages,Aashirvaad,432,15,367.2,4,1468.8,1213.28,255.52,Debit Card,25,4.8
ORD0119,01-03-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,High,Grocery,Britannia,489,5,464.55,7,3251.85,2735.26,516.59,Debit Card,30,4.5
ORD0120,28-01-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,High,Snacks,Nestle,137,10,123.3,1,123.3,80.81,42.49,Cash,40,3.8
ORD0121,17-01-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,High,Household,Britannia,120,5,114,2,228,181.8,46.2,UPI,40,4.9
ORD0122,09-01-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Dairy,Parle,176,10,158.4,4,633.6,426.03,207.57,Debit Card,10,4
ORD0123,06-01-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Grocery,Parle,200,15,170,6,1020,749.45,270.55,UPI,40,4.7
ORD0124,08-06-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,High,Fruits,Aashirvaad,443,25,332.25,8,2658,2180.29,477.71,UPI,22,4.4
ORD0125,25-02-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Dairy,Parle,227,20,181.6,1,181.6,137.58,44.02,Cash,22,3.8
ORD0126,25-01-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Snacks,MDH,197,5,187.15,1,187.15,134.67,52.48,Credit Card,28,4.1
ORD0127,29-01-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,High,Dairy,MDH,195,10,175.5,4,702,526.26,175.74,UPI,35,4.2
ORD0128,15-06-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,Small,Household,Britannia,255,20,204,2,408,299.65,108.35,Credit Card,18,4.3
ORD0129,11-06-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Small,Frozen Foods,Fortune,306,10,275.4,7,1927.8,1631.85,295.95,UPI,20,4.5
ORD0130,23-04-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,High,Grocery,Britannia,129,20,103.2,6,619.2,423.48,195.72,Cash,20,4.4
ORD0131,30-06-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,High,Snacks,Fortune,309,10,278.1,5,1390.5,987.67,402.83,Cash,40,4.2
ORD0132,18-02-2026,Mumbai,Malad,OUT009,Blinkit Malad,Tier 1,Medium,Dairy,Fortune,228,10,205.2,4,820.8,587.38,233.42,UPI,15,4.3
ORD0133,20-02-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Small,Dairy,Parle,456,15,387.6,5,1938,1428.28,509.72,Cash,22,4.4
ORD0134,11-06-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,Medium,Frozen Foods,Amul,254,20,203.2,4,812.8,609.68,203.12,Cash,18,4.5
ORD0135,31-05-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,High,Bakery,Britannia,52,10,46.8,7,327.6,258.88,68.72,Cash,35,4
ORD0136,29-06-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,Small,Bakery,Britannia,282,20,225.6,6,1353.6,950.18,403.42,Debit Card,40,4.7
ORD0137,09-06-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,Medium,Snacks,Nestle,178,20,142.4,8,1139.2,844.19,295.01,UPI,22,4.8
ORD0138,21-02-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Household,Tata,69,15,58.65,4,234.6,160.04,74.56,Debit Card,28,4
ORD0139,16-04-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,High,Frozen Foods,Britannia,312,5,296.4,6,1778.4,1341.51,436.89,Cash,22,4.4
ORD0140,06-03-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,Medium,Bakery,Aashirvaad,423,25,317.25,6,1903.5,1480,423.5,UPI,8,3.9
ORD0141,19-03-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,High,Bakery,Britannia,371,15,315.35,5,1576.75,1059.34,517.41,Debit Card,25,4.1
ORD0142,24-05-2026,Mumbai,Jogeshwari,OUT003,Blinkit Jogeshwari,Tier 1,High,Beverages,Fortune,447,5,424.65,4,1698.6,1263.47,435.13,Credit Card,35,4.6
ORD0143,01-05-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,Medium,Beverages,Parle,289,15,245.65,3,736.95,593.96,142.99,Debit Card,35,4.1
ORD0144,13-03-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,Medium,Beverages,Parle,397,10,357.3,8,2858.4,1859.5,998.9,Credit Card,25,4.4
ORD0145,19-03-2026,Mumbai,Kandivali,OUT010,Blinkit Kandivali,Tier 1,Medium,Fruits,Tata,376,5,357.2,6,2143.2,1458.56,684.64,Credit Card,12,4.4
ORD0146,23-02-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Small,Grocery,Parle,374,25,280.5,1,280.5,219.2,61.3,UPI,30,4
ORD0147,23-02-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Medium,Snacks,Tata,145,20,116,6,696,561.66,134.34,Credit Card,15,4.4
ORD0148,30-01-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,High,Dairy,Parle,321,5,304.95,8,2439.6,1913.25,526.35,Debit Card,15,4.8
ORD0149,06-02-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,High,Frozen Foods,Britannia,302,25,226.5,1,226.5,169.17,57.33,Debit Card,12,4.4
